nazwa_instytucji,badges,lokalizacja,adres,rodzaj_dzialalnosci,ilosc_miejsc,wpis_krdo,strona
Dom Pomocy Społecznej w Sieradzu,,Powiat sieradzki,"Armii Krajowej 34,
									98-200
									Sieradz Filia: ul. Wspólna 74, Witów,
									98-260
									Burzenin Filia: Rożdżały 7,
									98-290
									Warta",dla osób w podeszłym wieku i osób przewlekle somatycznie chorych dla osób przewlekle psychicznie chorych dla dorosłych niepełnosprawnych intelektualnie z oddziałem dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),378,1127/KR - 2021,146
Dom Pomocy Społecznej w Biskupicach,,Powiat sieradzki,"Biskupice 72,
									98-200
									Sieradz",dla osób przewlekle psychicznie chorych (Publiczny),100,1128/KR - 2021,146
Dom Pomocy Społecznej Chróścin – Wieś,,Powiat wieruszowski,"Chróścin 50,
									98-430
									Bolesławiec Chróścin 47,
									98-430
									Bolesławiec",dla osób przewlekle psychicznie chorych dla osób przewlekle psychicznie chorych (Publiczny),154,1133/KR - 2021,147
Dom Pomocy Społecznej w Skrzynnie,,Powiat wieluński,"Skrzynno 13,
									98-311
									Ostrówek",dla osób przewlekle psychicznie chorych (Publiczny),162,1134/KR - 2021,147
Dom Pomocy Społecznej w Wojszycach,,Powiat kutnowski,"Wojszyce 47,
									99-311
									Bedlno",dla osób przewlekle psychicznie chorych (Publiczny),130,1144/KR - 2021,148
Dom Pomocy Społecznej w Woli Chruścińskiej,,Powiat kutnowski,"Wola Chruścińska 4,
									99-306
									Łanięta",dla osób przewlekle psychicznie chorych (Publiczny),95,1145/KR - 2021,148
Dom Pomocy Społecznej w Karsznicach,,Powiat łęczycki,"Karsznice 62,
									99-122
									Góra Świętej Małgorzaty",dla osób przewlekle psychicznie chorych (Publiczny),75,1148/KR - 2021,148
Dom Pomocy Społecznej Borówek im. Krystyny Bochenek w Borówku,,Powiat łowicki,"Borówek 56,
									99-423
									Bielawy",dla osób przewlekle psychicznie chorych (Publiczny),130,1149/KR - 2021,149
5 Dom Pomocy Społecznej w Łodzi,,Łódź,"Podgórna 2/14,
									93-278
									Łódź",dla osób przewlekle psychicznie chorych (Publiczny),160,1155/KR - 2021,149
3 Dom Pomocy Społecznej w Łodzi,,Łódź,"Paradna 36,
									93-345
									Łódź",dla osób przewlekle psychicznie chorych (Publiczny),115,1156/KR - 2021,149
Dom Pomocy Społecznej w Wiśniowej Górze,,Powiat łódzki wschodni,"Tuszyńska 56,
									95-020
									Wiśniowa Góra",dla osób przewlekle psychicznie chorych (Publiczny),133,1164/KR - 2021,149
Dom Pomocy Społecznej Pod Dębami w Konstantynowie Łódzkim,,Powiat pabianicki,"Bechcice 3,
									95-050
									Konstantynów Łódzki",dla osób przewlekle psychicznie chorych (Publiczny),143,1167/KR - 2021,150
Dom Pomocy Społecznej w Zabłotach,,Powiat bełchatowski,"Zabłoty 19,
									97-425
									Zelów",dla osób przewlekle psychicznie chorych (Publiczny),80,1171/KR - 2021,150
Dom Pomocy Społecznej w Dąbrowie,,Powiat brzeziński,"Dąbrowa 1,
									95-047
									Jeżów",dla kobiet przewlekle psychicznie chorych (Publiczny),90,1173/KR - 2021,150
DPS Konwentu Bonifratrów Cieszyn,,Powiat cieszyński,"Plac Józefa Londzina 1,
									43-400
									Cieszyn",osoby przewlekle psychicznie chore (Publiczny),116,1269/KR - 2021,159
DPS prowadzony przez Zgromadzenie Sióstr Miłosierdzia św. Karola Boromeusza Pszczyna,,Powiat pszczyński,"Warowna 59,
									43-200
									Pszczyna",osoby przewlekle psychicznie chore (Publiczny),70,1270/KR - 2021,159
DPS prowadzony przez SS Maryi Niepokalanej Racibórz,,Powiat raciborski,"Plac Króla Władysława Jagiełły 3,
									47-400
									Racibórz",osoby przewlekle psychicznie chore (Publiczny),170,1271/KR - 2021,159
DPS dla Osób Przewlekle Psychicznie Chorych Ruda Śląska,,Ruda Śląska,"Oddziałów Młodzieży Powstańczej 3,
									41-707
									Ruda Śląska",osoby przewlekle psychicznie chore (Publiczny),53,1272/KR - 2021,159
Dom Pomocy Społecznej Siemianowice Śląskie,,Siemianowice Śląskie,"Świętej Barbary 5,
									41-100
									Siemianowice Śląskie",osoby przewlekle psychicznie chore (Publiczny),90,1273/KR - 2021,159
DPS dla Osób Przewlekle Psychicznie Chorych prowadzony przez Zgromadzenie SS Boromeuszek Tarnowskie Góry,,Powiat tarnogórski,"Gliwicka 22,
									42-600
									Tarnowskie Góry",osoby przewlekle psychicznie chore (Publiczny),62,1274/KR - 2021,159
Dom Pomocy Społecznej Słoneczny Dom,,Zabrze,"Knurowska 17,
									41-800
									Zabrze",osoby przewlekle psychicznie chore (Publiczny),90,1275/KR - 2021,160
Dom Pomocy Społecznej Łubie,,Powiat tarnogórski,"Pyskowicka 34,
									44-131
									 Łubie",osoby przewlekle psychicznie chore (Publiczny),68,2409/KR - 2021,161
Dom Pomocy Społecznej Będzin,,Powiat będziński,"Adama Mickiewicza 2,
									42-506
									Będzin",osoby przewlekle psychicznie chore (Publiczny),100,2432/KR - 2021,164
Dom Pomocy Społecznej dla Dorosłych Bytom,,Bytom,"Dworcowa 7,
									41-902
									Bytom",osoby przewlekle psychicznie chore (Publiczny),135,2433/KR - 2021,164
Dom Pomocy Społecznej Blachownia,,Powiat częstochowski,"Henryka Sienkiewicza 6,
									42-290
									Blachownia",osoby przewlekle psychicznie chore (Publiczny),158,2434/KR - 2021,164
Dom Pomocy Społecznej Lelów,,Powiat częstochowski,"Szczekocińska 19,
									42-235
									Lelów",osoby przewlekle psychicznie chore (Publiczny),100,2435/KR - 2021,164
Dom Pomocy Społecznej Częstochowa,,Częstochowa,"Profesora Stanisława Kontkiewicza 2,
									42-200
									Częstochowa",osoby przewlekle psychicznie chore (Publiczny),192,2436/KR - 2021,164
Dom Pomocy Społecznej Mysłowice,,Mysłowice,"Mikołaja Reja 54,
									41-404
									Mysłowice",osoby przewlekle psychicznie chore (Publiczny),50,2437/KR - 2021,164
Dom Pomocy Społecznej Piekary Śląskie,,Piekary Śląskie,"Teodora Trautmana 4,
									41-946
									Piekary Śląskie",osoby przewlekle psychicznie chore (Publiczny),130,2438/KR - 2021,164
Dom Pomocy Społecznej p.w św. Józefa Lyski,,Powiat rybnicki,"Rybnicka 7,
									44-295
									Lyski",osoby przewlekle psychicznie chore (Publiczny),124,2439/KR - 2021,164
Dom Pomocy Społecznej Zawiercie,,Powiat zawierciański,"Rzemieślnicza 9,
									42-400
									Zawiercie",osoby przewlekle psychicznie chore (Publiczny),162,2440/KR - 2021,165
Powiatowy Dom Pomocy Społecznej Pogórze z filią Bursztyn Kończyce Małe,,Powiat cieszyński,"Zamek 132,
									43-430
									Pogórze Staropolska 14,
									43-525
									Kończyce Małe",osoby dorosłe niepełnosprawne intelektualnie osoby przewlekle psychicznie chore (Publiczny),152,2471/KR - 2021,168
Dom Pomocy Społecznej w Tonowie,,Powiat żniński,"Tonowo 52,
									88-430
									Janowiec Wielkopolski",dla osób przewlekle psychicznie chorych (Publiczny),90,2565/KR - 2021,173
Dom Pomocy Społecznej w Gołuszycach,,Powiat świecki,"Gołuszyce 26,
									86-120
									Pruszcz",dla osób przewlekle psychicznie chorych (Publiczny),140,2566/KR - 2021,173
Dom Pomocy Społecznej w Barcinie,,Powiat żniński,"Polna 30,
									88-190
									Barcin",dla osób przewlekle psychicznie chorych (Publiczny),70,2567/KR - 2021,173
Dom Pomocy Społecznej w Grudziądzu,,Grudziądz,"Parkowa 12,
									86-300
									Grudziądz","dla osób przewlekle psychicznie chorych (216 miejsc), dla osób przewlekle somatycznie chorych (196 miejsc) (Publiczny)",412,2573/KR - 2021,173
Dom Pomocy Społecznej w Pigży,,Powiat toruński,"Szkolna 8,
									87-152
									Łubianka",dla osób przewlekle psychicznie chorych (Publiczny),69,2574/KR - 2021,174
Kraft Haus Dom Pomocy Społecznej w Toruniu,,Toruń,"Szosa Okrężna 3,
									87-100
									Toruń",dla osób przewlekle psychicznie chorych (Publiczny),72,2579/KR - 2021,174
Dom Pomocy Społecznej w Parchaniu,,Powiat inowrocławski,"Parchanie 9,
									88-110
									Inowrocław",dla osób przewlekle psychicznie chorych (Publiczny),80,2588/KR - 2021,174
Dom Pomocy Społecznej w Suchorączku,,Powiat sępoleński,"Suchorączek 51,
									89-410
									Więcbork",dla osób przewlekle psychicznie chorych (Publiczny),75,2590/KR - 2021,175
Dom Pomocy Społecznej w Warzynie,,Powiat inowrocławski,"Warzyn 1,
									88-140
									Gniewkowo",dla osób przewlekle psychicznie chorych (Publiczny),87,2601/KR - 2021,176
Dom Pomocy Społecznej w Siemionkach,,Powiat mogileński,"Siemionki 13,
									88-324
									Jeziora Wielkie",dla osób przewlekle psychicznie chorych (Publiczny),98,2603/KR - 2021,176
Dom Pomocy Społecznej w Zakrzewie,,Powiat aleksandrowski,"Inowrocławska 20,
									87-707
									Zakrzewo",dla osob przewlekle psychicznie chorych (Publiczny),100,2604/KR - 2021,176
Dom Pomocy Społecznej w Krośnicach,,Powiat milicki,"Kwiatowa 9,
									56-320
									Krośnice",dla osób przewlekle psychicznie chorych (Publiczny),152,2636/KR - 2021,179
Dom Pomocy Społecznej w Obornikach Śląskich,,Powiat trzebnicki,"Kardynała Stefana Wyszyńskiego 33,
									55-120
									Oborniki Śląskie Filia: ul. Polna 43,
									55-120
									Rościsławice",dla osób przewlekle somatycznie chorych dla osób przewlekle psychicznie chorych (Publiczny),257,2641/KR - 2021,179
Miejskie Centrum Uśług Socjalnych we Wrocławiu Dom Pomocy Społecznej,,Wrocław,"Kaletnicza 8,
									51-180
									Wrocław",dla osób przewlekle psychicznie chorych (Publiczny),94,2646/KR - 2021,180
Dom Pomocy Społecznej dla osób przewlekle psychicznie chorych w Ząbkowicach Śląskich,,Powiat ząbkowicki,"Szpitalna 3,
									57-200
									Ząbkowice Śląskie",dla osób przewlekle psychicznie chorych (Publiczny),16,2652/KR - 2021,180
Dom Pomocy Społecznej we Wronińcu,,Powiat górowski,"Wroniniec 59,
									56-215
									Niechlów",dla osób przewlekle psychicznie chorych (Publiczny),74,2657/KR - 2021,181
Dom Pomocy Społecznej w Bystrzycy Kłodzkiej,,Powiat kłodzki,"Górna 23,
									57-500
									Bystrzyca Kłodzka Pl. Szpitalny 5,
									57-500
									Bystrzyca Kłodzka",dla osób przewlekle somatycznie chorych dla osób przewlekle psychicznie chorych (Publiczny),82,2666/KR - 2021,181
Dom Pomocy Społecznej w Nowej Rudzie,,Powiat kłodzki,"Parkowa 20,
									57-402
									Nowa Ruda Ścinawca Dolna 17,
									57-402
									Nowa Ruda",dla osób przewlekle somatycznie chorych dla osób przewlekle psychicznie chorych (Publiczny),196,2667/KR - 2021,182
Środowiskowy Dom Samopomocy Wołomin,,Powiat wołomiński,"ul. Mieszka I 1,
									05-200
									Wołomin",Dla osób przewlekle psychicznie chorych i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),35,27846/KR - 2023,298
Środowiskowy Dom Samopomocy Warszawa,,Powiat warszawski zachodni,"ul. Żytnia 75/77,
									01-149 
									Warszawa",Dla osób przewlekle psychicznie chorych oraz osób wykazujących inne przewlekłe zaburzenia czynności psychicznych (Środowiskowy Dom Samopomocy),45,27805/KR - 2023,300
Środowiskowy Dom Samopomocy Warszawa,,Powiat warszawski zachodni,"ul. Przyczółkowa 27A,
									02-968
									Warszawa",Dla osób przewlekle psychicznie chorych i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),52,27812/KR - 2023,300
Środowiskowy Dom Samopomocy Warszawa,,Powiat warszawski zachodni,"Jagiellońska 54,
									03-844 
									Warszawa",Dla osób przewlekle psychicznie chorych (Środowiskowy Dom Samopomocy),45,27814/KR - 2023,300
Środowiskowy Dom Samopomocy Warszawa,,Powiat warszawski zachodni,"ul. Zalipie 17,
									04-612 
									Warszawa",Dla osób przewlekle psychicznie chorych (Środowiskowy Dom Samopomocy),27,27816/KR - 2023,300
Środowiskowy Dom Samopomocy Tchórzew,,Powiat siedlecki,"ul. Tchórzew 4,
									08-106 
									Tchórzew",Dla osób przewlekle psychicznie chorych i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),35,27667/KR - 2023,306
Środowiskowy Dom Samopomocy Strzegowo,,Powiat mławski,"ul. Słowackiego 33,
									06-445 
									Strzegowo",Dla osób przewlekle psychicznie chorych  i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),30,27468/KR - 2023,308
Środowiskowy Dom Samopomocy Sokołów Podlaski,,Powiat sokołowski,"ul. Kosowska 83,
									08-300 
									Sokołów Podlaski",Dla osób przewlekle psychicznie chorych i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),40,27690/KR - 2023,310
Środowiskowy Dom Samopomocy Sochaczew,,Powiat sochaczewski,"ul. Zamkowa 4a,
									96-500 
									Sochaczew",Dla osób przewlekle psychicznie chorych i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),50,27689/KR - 2023,311
Środowiskowy Dom Samopomocy Słupno,,Płock,"ul. Warszawska 26a,
									09-472 
									Słupno",Dla osób przewlekle psychicznie chorych (Środowiskowy Dom Samopomocy),35,27586/KR - 2023,311
Środowiskowy Dom Samopomocy Serock,,Powiat legionowski,"ul. Wyzwolenia 31,
									05-140 
									Serock",Dla osób przewlekle psychicznie chorych i dla osób z niepełnosprawnością intelektualną (Środowiskowy Dom Samopomocy),30,27381/KR - 2023,313
