nazwa_instytucji,badges,lokalizacja,adres,rodzaj_dzialalnosci,ilosc_miejsc,wpis_krdo,strona
Dom Pomocy Społecznej dla Dorosłych prowadzony przez Zgromadzenie Sióstr Albertynek w Życzynie,,Powiat garwoliński,"Dębówka 53,
									08-455
									Trojanów",dla dorosłych niepełnosprawnych intelektualnie kobiet (Publiczny),77,299/KR - 2021,69
Dom Pomocy Społecznej w Niegowie,,Powiat wyszkowski,"Wierzbowa 4,
									07-230
									Zabrodzie",dla dorosłych niepełnosprawnych intelektualnie oraz dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),100,300/KR - 2021,69
Dom Pomocy Społecznej Nad Jarem w Nowym Miszewie,,Powiat płocki,"Pałacowa 2B,
									09-471
									Nowe Miszewo",dla dorosłych niepełnosprawnych intelektualnie z oddziałem dla osób przewlekle psychicznie chorych (Publiczny),186,303/KR - 2021,70
Dom Pomocy Społecznej dla Dzieci Fiszor w Gaju,,Powiat wyszkowski,"Matki Jaroszewskiej 5,
									07-230
									Zabrodzie",dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),85,305/KR - 2021,70
Dom Pomocy Społecznej w Bądzynie,,Powiat żuromiński,"Bądzyn 75,
									09-304
									Lubowidz",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),64,307/KR - 2021,70
Dom Pomocy Społecznej w Krzyżanowicach,,Powiat radomski,"Krzyżanowice 219,
									27-100
									Iłża",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),130,308/KR - 2021,70
Dom Pomocy Społecznej w Otwocku,,Powiat otwocki,"Marii Konopnickiej 17,
									05-400
									Otwock",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),38,310/KR - 2021,70
Dom Pomocy Społecznej w Przasnyszu,,Powiat przasnyski,"Ruda 1,
									06-300
									Przasnysz",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),189,312/KR - 2021,71
Dom Pomocy Społecznej w Niedabylu,,Powiat białobrzeski,"Niedabyl 36A,
									26-804
									Stromiec",dla osób dorosłych niepełnosprawnych intelektualnie oraz dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),70,314/KR - 2021,71
Dom Pomocy Społecznej w Wierzbicy,,Powiat radomski,"Sienkiewicza 37,
									26-680
									Wierzbica",dla osób dorosłych niepełnosprawnych intelektualnie oraz dla dzieci i młodzieży niepełnosprawnych intelektualnie oraz dla osób przewlekle somatycznie chorych (Publiczny),126,317/KR - 2021,71
Dom Pomocy Społecznej w Pruszkowie,,Powiat pruszkowski,"Żbikowska 40,
									05-800
									Pruszków",dla osób dorosłych niepełnosprawnych intelektualnie oraz dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),93,318/KR - 2021,71
Dom Pomocy Społecznej Rehabilitacyjno-Opiekuńczy Katolickiego Stowarzyszenia Niepełnosprawnych Archidiecezji Warszawskiej,,Powiat grodziski,"Piasta 5,
									05-822
									Milanówek",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),58,321/KR - 2021,72
Dom Pomocy Społecznej Fundacji Pomocna Dłoń w Warszawie,,Warszawa,"Odrębna 10,
									04-867
									Warszawa",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),30,326/KR - 2021,72
Dom Pomocy Społecznej – Hostel im. Jana Pawła II w Otwocku,,Powiat otwocki,"Stanisława Moniuszki 41,
									05-400
									Otwock",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),21,328/KR - 2021,72
Dom Pomocy Społecznej w Ołdakach,,Powiat pułtuski,"Ołdaki 7,
									06-126
									Gzy",dla dorosłych niepełnosprawnych intelektualnie oraz osób przewlekle psychicznie chorych (Publiczny),118,330/KR - 2021,73
Dom Pomocy Społecznej w Czubinie,,Powiat pruszkowski,"Czubin 13,
									05-840
									Brwinów",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),104,331/KR - 2021,73
Dom Pomocy Społecznej Jedlina w Mieni,,Powiat miński,"Leśniczówka Mienia 300,
									05-319
									Cegłów",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),105,333/KR - 2021,73
Dom Pomocy Społecznej dla Dorosłych Niepełnosprawnych Intelektualnie w Lipsku,,Powiat lipski,"1 Maja 79,
									27-300
									Lipsko",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),105,334/KR - 2021,73
Dom Pomocy Społecznej Łopienno,,Powiat gnieźnieński,"Łopienno 119,
									62-213
									Mieleszyn",dla dzieci i młodzieży niepełnosprawnych intelektualnie (Publiczny),50,371/KR - 2021,77
Dom Pomocy Społecznej Mielżyn,,Powiat gnieźnieński,"Szkolna 15 Mielżyn,
									62-230
									Witkowo",- dla osób dorosłych niepełnosprawnych intelektualnie (26 miejsc) -dla dzieci i młodzieży niepełnosprawnych intelektualnie (60 miejsc) (Publiczny),86,375/KR - 2021,77
Dom Pomocy Społecznej Nowa Wieś,,Powiat szamotulski,"Szamotulska 9, Nowa Wieś,
									64-510
									Wronki",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),80,376/KR - 2021,77
Dom Pomocy Społecznej Chojno,,Powiat szamotulski,"Chojno 41a,
									64-510
									Wronki",dla dorosłych niepełnosprawnych intelektualnie (Publiczny),65,377/KR - 2021,77
