nazwa_instytucji,badges,lokalizacja,adres,rodzaj_dzialalnosci,ilosc_miejsc,wpis_krdo,strona
DPS prowadzony przez Zgromadzenie Sióstr Miłosiedzia św. Karola Boromeusza Nakło Śląskie,,Powiat tarnogórski,"Główna 8,
									42-620
									Nakło Śląskie",dorośli niepełnosprawni intelektualnie oraz dzieci i młodzież niepełnosprawna intelektualnie (Publiczny),60,2429/KR - 2021,163
DPS Zgromadzenia Sióstr Opatrzności Bożej Wodzisław Śląski,,Powiat wodzisławski,"Plac Wolności 35,
									41-300
									Wodzisław Śląski",dorośli niepełnosprawni intelektualnie oraz dzieci i młodzież niepełnosprawna intelektualnie (Publiczny),56,2430/KR - 2021,163
Dom Pomocy Społecznej Najświętsze Serce Jezusa Ruda Śląska,,Ruda Śląska,"Kłodnicka 103,
									41-706
									Ruda Śląska",dorośli niepełnosprawni intelektualnie oraz dzieci i młodzież niepełnosprawna intelektualnie (Publiczny),95,2431/KR - 2021,164
Dom Pomocy Społecznej Będzin,,Powiat będziński,"Adama Mickiewicza 2,
									42-506
									Będzin",osoby przewlekle psychicznie chore (Publiczny),100,2432/KR - 2021,164
Dom Pomocy Społecznej dla Dorosłych Bytom,,Bytom,"Dworcowa 7,
									41-902
									Bytom",osoby przewlekle psychicznie chore (Publiczny),135,2433/KR - 2021,164
Dom Pomocy Społecznej Blachownia,,Powiat częstochowski,"Henryka Sienkiewicza 6,
									42-290
									Blachownia",osoby przewlekle psychicznie chore (Publiczny),158,2434/KR - 2021,164
Dom Pomocy Społecznej Lelów,,Powiat częstochowski,"Szczekocińska 19,
									42-235
									Lelów",osoby przewlekle psychicznie chore (Publiczny),100,2435/KR - 2021,164
Dom Pomocy Społecznej Częstochowa,,Częstochowa,"Profesora Stanisława Kontkiewicza 2,
									42-200
									Częstochowa",osoby przewlekle psychicznie chore (Publiczny),192,2436/KR - 2021,164
Dom Pomocy Społecznej Mysłowice,,Mysłowice,"Mikołaja Reja 54,
									41-404
									Mysłowice",osoby przewlekle psychicznie chore (Publiczny),50,2437/KR - 2021,164
Dom Pomocy Społecznej Piekary Śląskie,,Piekary Śląskie,"Teodora Trautmana 4,
									41-946
									Piekary Śląskie",osoby przewlekle psychicznie chore (Publiczny),130,2438/KR - 2021,164
